Lokalisering	Avtalenavn	Elements 	Tilstandsgrad	Startdato	Sluttdato	Utleier	Utleier kategori	Hjemmelshaver	Status	Poststed	Adresselinje 1	Lok: Distrikt	Lok: Område	Type lokasjon	Areal	Antall godkjente plasser	Målgruppe	Antall ansatte per kontor/familievernkontor	Adresse og Postnummer 	kommunenavn	Fylke	Matrikkel Gnr	Matrikkel Bnr	Matrikkel Knr	org nr utleier	Areal inkl fellesareal i leiekontrakt (kvm)	Eksklusivt areal i leiekontrakt (kvm) 	Tillegsareal iht addendum (kvm)	Reduksjon iht addendum (kvm)	tomteareal	leieregulering	forlengelse &vilkår	p-plasser	Kontraktsleie ved oppstart (per år)	kontraktsleie ønkning /reduksjon 	Oppstartsdato (KPI-grunnlag) - Gyldig kontrakt 	Kontaktsleie ved oppstart (gyldig kontrakt)	KPI-justert kontraktsleie til okt 2025	Indre vedlikehold	KPI-justert indre vedlikehold	Felleskostnader per år (ved kontraktsinngåelse) 	Brukeravhengige driftskostander - Første driftsår	Indre vedlikehold pr/kvm	Kostnander: kommunale gebyrer og renovasjon	Kost kortleser	Parkeringsleie kr per år	Merverdikompensasjon per år 	Vaktmestertjenester kr per år	Energi til leieobjektet kr per år	Oppvarming pr år	Renhold pr år	Kontantinnskudd kr	Betaling administrativt arbeid Statsbygg	kommentar 						
1217 - Lamo Ungdomssenter	Lamo Ungdomssenter, tilleggskontrakt 50-tallshuset	2023/74421-1		08.05.2023	30.04.2025	Statsbygg	1		Aktiv	SJØVEGAN	Eideveien 168	01 - Nord	02 - Troms og Finnmark	Formålsbygg	1284	0			Laberg 9350 Sjøvegan	Salangen 		43	12, 166 og 336	5417	971278374	232					100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp		224000		08.05.2023	224000	246969	18735	20656		55000																		
1217 - Lamo Ungdomssenter	Lamo Ungdomssenter, hovedkontrakt	2018/57264		01.01.2012	31.12.2031	Statsbygg	1		Aktiv	SJØVEGAN	Eideveien 168	01 - Nord	02 - Troms og Finnmark	Formålsbygg	1516	5	Omsorg		Laberg 9350 Sjøvegan	Salangen 		43	12, 166 og 336	5417	971278374	1284					100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp		2673000		01.07.2023	4220272	4653034	77040	155839		110000	60											* mangler ny kontrakt 						
1217 - Lamo Ungdomssenter	Lamo Ungdomssenter, tilleggskontrakt ombygging familieleilighet	2018/57264		01.01.2020	31.12.2031	Statsbygg	1		Aktiv	SJØVEGAN	Eideveien 168	01 - Nord	02 - Troms og Finnmark	Formålsbygg	0	0			Laberg 9350 Sjøvegan	Salangen 		43	12, 166 og 336	5417	971278374						100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp		se hovedavtale 		01.01.2020	se hovedavtale 	inkludert i hovedkontrakt 																						
5909 - Elias Smiths vei 22-24, 1337 Sandvika	Familievernkontoret Asker og Bærum	2023/79993		02.01.2018	31.01.2028	Sandvika Business Center AS	2		Aktiv	SANDVIKA	Elias Smiths vei 22-24	05 - Øst	11 - Oslo og Viken	Familievernkontor	1392				Elias Smiths vei 22-24, 1337 Sandvika 	Bærum		52	30	3201	992218835	1392	1189				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	inkl 5 faste p-plasser 	2839680		02.01.2018	2839680	3633428			452400					96000	372000							*2 alternative leietider i leiekontrakt.						
5116 - Emma Hjortsvei 60, 1336 Sandvika	Jong Ungdomssenter, avdeling Åsen	2023/80042		01.01.2024	31.12.2033	Statsbygg	1		Aktiv	SANDVIKA	Emma Hjortsvei 60	05 - Øst	11 - Oslo og Viken	Formålsbygg	617	5	Rus		Emma Hjorts vei 60, 1336 Sandvika	Bærum		47	384	3201	971278374	617				6514	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		715000		01.01.2024	715000	752431	49376	51960		392000	80																	
5119 - Energivegen 13, 2260 Kirkenær	Kirkenær barnevern og omsorgssenter 	2023/80021		05.01.2009	31.12.2029	Grue kommune	2		Aktiv	KIRKENÆR	Energivegen 13	05 - Øst	10 - Innlandet	Kontor	517				Energivegen 13, 2260 Kirkenær	Grue				3417	964948143	1982					100% av KPI på leie	JA, gitt visse vilkår		3950126		05.01.2009	3950126	6094354																						
5118 - Energivegen 17,2260 Kirkenær	Kirkenær barnevern og omsorgssenter - Furubo	2009/50239-71		05.01.2009	31.12.2029	Grue kommune	2		Aktiv	KIRKENÆR	Energivegen 17	05 - Øst	10 - Innlandet	Formålsbygg	385		EMA		Energivegen 19, 2260 Kirkenær	Grue		29	14	3417	964948143	ikke oppgitt					100% av KPI på leie	Leieforholdet løpet på ubestemt tid 		571416		05.01.2009	571416	881595																						
5914 - Energiveien 14, 2069 Jessheim	Familievernkontoret Øvre Romerike Glåmdal, avdeling Jessheim	2023/80008		01.01.2020	31.12.2029	Realkapital Jessheim Næringspark AS	2		Aktiv	JESSHEIM	Energiveien 14	05 - Øst	11 - Oslo og Viken	Familievernkontor	646				Energivegen 14, 2260 Kirkenær	Grue		7	178	3417	917471355	646	606				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	inkl 5 faste p-plasser 	1195100		01.01.2020	1195100	1477365			74936						129200													
3513 - Foreldre og barn Sudmannske	F2 foreldre/barn - Feråsvegen 13	2013/70408-1		01.01.2018	01.01.2028	Sudmannske Stiftelse	2		Aktiv	SØREIDGREND	Feråsvegen 13	03 - Vest	05 - Vestland	Formålsbygg	1240	0	BFS		Fleråsvegen 13, 5251 Søreidgrend	Bergen		39	438	4601	840805492	1195					100% av KPI på leie	JA, må vasle utleier om forlengelse min 24 mnd før utløp	inkl alle parkeringsplasser på tomten	1195000		01.01.2018	1195000	1529026																						
3513 - Foreldre og barn Sudmannske	F2 foreldre/barn - Feråsvegen 13 - vedlikehold - løpende avtale	2005/2611-1		01.01.2004		Statsbygg	1		Aktiv	SØREIDGREND	Feråsvegen 13	03 - Vest	05 - Vestland	Formålsbygg	0	0	BFS		Fleråsvegen 13, 5251 Søreidgrend	Bergen		39	438	4601	971278374	ikke relevant					100% av KPI på leie			vedlikeholdsavtale		01.01.2004	ikke relevant	vedlikeholdsavtale 	186000			112000											45500							
1114 - Fiskergata 22	FVK, utekontor LOVE	2027/87441		02.10.2023	01.10.2029	Fiskergata 22 Svolvær AS	2		Aktiv	SVOLVÆR	Fiskergata 22	01 - Nord	01 - Nordland	Familievernkontor	112				Fiskergata 22, 8300 Svolvær	Vågan 		18	697	1865	920162894	112	92				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	inkl felles p-plasser	139464		02.10.2023	139464	149256			47124						34894													
1202 - FVK/NASAK, Karasjok	FVK/NASAK, Indre Finnmark	2020/52306-6		01.01.2018	31.12.2026	Fitnodatgeaidnu 41 AS	2		Aktiv	KARASJOK	Fitnodatgeaidnu 41-43	01 - Nord	02 - Troms og Finnmark	Familievernkontor	382				Fitnodatgeaidnu 41-43, 9730 Karasjok	Karasjok		9	1 (fnr: 166)	5610	997712773	260		 + 122 kvm fra 01.01.2022			100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp		275200 (Leie fra 01.01.2022: 450760)		01.01.2018	275200	509123			72000													*Ombyggingskoastander nedbetales med 68000 per år de første 7 år av leieforholdet. + rentekost på 6%. * påløper ombyggingskos i 2021 på 450000,- faktureres direkte.						
3502 - KASA Flatøy	F3 ungdom - Flatøyvegen 45			01.08.2006	31.07.2026	Statsbygg	1		Aktiv	FREKHAUG	Flatøyvegen 45	03 - Vest	05 - Vestland	Formålsbygg	398	4	Omsorg		Flatøyvegen 45, 5918 Frekhaug	Alver 		301	265	4631	971278374	398					80% av KPI på leie - 100% av KPI på indre vedlikehold 	JA, må vasle utleier om forlengelse min 6 mnd før utløp		373000		01.08.2006	373000	431500	13930	23278		35000	35																	
2343 - Forbordsfjellvegen 119	Forbordsfjellvegen 119 - Skatval ungdomssenter	2024/54129		01.12.2023	31.12.2033	Svein og Ranka Kvarving	2		Aktiv	SKATVAL	Forbordsfjellvegen 119	02 - Midt-Norge	03 - Trøndelag	Formålsbygg	1154	4	Behandling høy		Forbordsfjellvegen 119, 7510 Skatvalt	Stjørdal				5035	privat 	1154					100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp		2040000 + 120000 (anneks)		01.12.2023	2160000	2311666																* v/kommunal godkjennelse av anneneks til varig opphold vil årlig leie økes med nok 120000						
6121 - Bufdir Hovedkontor	Bufdir Helsfyr	2020/50787		16.08.2018	15.08.2028	Gasmann Eiendom AS	2		Aktiv	OSLO	Fredrik Selmers vei 3	06 - Bufdir	12 - Bufdir	Kontor	5839				Fredrik Selmers vei 3, 0663 Oslo	Oslo 		130	66	301	924776978	5108	4019				85% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		9737950		16.08.2018	9737950	11639048			1263624						1250250							* Estimert kantinekost på 3000,- per ansatt /per år						
4711 - Furuly	Furuly	2024/50748-1		01.01.2004	31.12.2025	Statsbygg	1		Aktiv	MANDAL	Fridtjof Nansensvei 12	04 - Sør	07 - Agder	Formålsbygg	695	5	Omsorg		Fr. Nansensvei 12A, 4514 Mandal	Lindesnes		160	253	4205	971278374	695					80% av KPI på leie - 100% av KPI på indre vedlikehold 	JA, må vasle utleier om forlengelse min 6 mnd før utløp		486000		01.01.2004	486000	745680	41700	71848		62550	60											* kontrakt utgått? Eller forlenget uten å ligge i systemet? 						
4921 - Lågen	Lågen	2017/56873-13		01.01.2022	01.01.2052	Statsbygg	1		Aktiv	KONGSBERG	Frogsvei 21-25	04 - Sør	09 - Viken - Sørvest	Formålsbygg	1622	10	Omsorg		Frogs vei 21-25 og Henriette Hopes vei 1-5, 3611 Kongsberg	Kongsberg 		8194	12, 3 og del av 1	3301	971278374	1622					100% av KPI på leie	JA, må vasle utleier om forlengelse min 9 mnd før utløp	15 plasser + 1 HC	5900000		01.01.2022	5900000	6929127	82000	96303		416000	51																	
2402 - Senter for foreldre og barn, Adm.lokaler	Senter for foreldre og barn, Adm.lokaler	2016/50414		12.01.2016	30.11.2026	Amfi Bygg Roseby AS	2		Aktiv	MOLDE	Frænaveien 16	02 - Midt-Norge	04 - Møre og Romsdal	Kontor	659				Frænavegen 16, 6415 Molde	Molde		25	722	1506	983485413	659								980000		12.01.2016	980000	1312027			34600																			
6011 - Furene 8	Furene 8 - FVK Ålesund-Volda (avdelingskontor)			15.02.2022	15.02.2032	AS Terminalbygg	2		Aktiv	VOLDA	Furene 8	02 - Midt-Norge	04 - Møre og Romsdal	Familievernkontor	208				Furene 8, 6105 Volda	Volda		11	76	1577	936488889	208					100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		291200		15.02.2022	291200	328904			25000																			
