;;;;;;;;
;;;;;;;;
Periodekalender;2025;;;;;;;
Kapittel Beskrivelse;All;;;;;;;
Kontonummer;(Flere elementer);;;;;;;
;;;;;;;;
Kontantbeløp;Kolonneetiketter;;;;;;;
;Bufetat;;;;;Bufdir;Totalsum;
Radetiketter;Region Midt-Norge;Region Nord;Region Sør;Region Vest;Region Øst;;;
Leie av lokaler og tilknyttede utgifter;;;;;;;;
Leie lokaler andre utleiere;;;;;;;;
;;;;;;  28 488 729;  28 488 729;
Grøterød ungdomshjem;;;   222 828;;;;   222 828;
Gullhella barne- og  familiesenter;;;;;   219 938;;   219 938;
Harstad / Narvik FV;;   158 763;;;;;   158 763;
Humla Akuttsenter;   129 662;;;;;;   129 662;
Husafjellheimen ungdomsheim;   36 600;;;;;;   36 600;
Indre Finnmark Familievernkontor;;   75 385;;;;;   75 385;
Innlandet barnevernsenter;;;;;   191 131;;   191 131;
Jong ungdoms- og familiesenter;;;;;   101 701;;   101 701;
Jong ungdomshjem - behandling;;;;;    ;;    ;
Karienborg ungdomsheim;   109 864;;;;;;   109 864;
Kasa Ungdomssenter;;;;   28 578;;;   28 578;
Katfoss behandling ungdom;;;   58 100;;;;   58 100;
Kirkenær barnevern- og omsorgssenter;;;;;   183 485;;   183 485;
Klokkerhuset ungdomssenter akutt;;;   165 250;;;;   165 250;
Kollen ungdomsbase;   4 476;;;;;;   4 476;
Kontorfaglig enhet;;;;   674 850;;;   674 850;
Kvammen akuttinstitusjon;   60 610;;;;;;   60 610;
Lunde behandlingssenter;;;   202 957;;;;   202 957;
Lågen ungdomshjem;;;   188 172;;;;   188 172;
MST Bodø;;   29 148;;;;;   29 148;
MST Mo i Rana;;   110 212;;;;;   110 212;
MST region sør;;;   235 796;;;;   235 796;
MST Sunnmøre;   19 488;;;;;;   19 488;
MST Tromsø;;   45 847;;;;;   45 847;
MST Trøndelag Nord;   43 995;;;;;;   43 995;
Multisystemisk  terapi-team Gjøvik;;;;;   21 762;;   21 762;
Multisystemisk  terapi-team Hamar;;;;;   26 869;;   26 869;
Multisystemisk  terapi-team Lillestrøm;;;;;   83 429;;   83 429;
Multisystemisk  terapi-team Sarpsborg;;;;;   58 551;;   58 551;
Multisystemisk  terapi-team Ski;;;;;   35 485;;   35 485;
Multisystemisk terapi-team Sandvika;;;;;   34 464;;   34 464;
Nasjonal enhet for behandlingstiltak;   9 230;;;;;;   9 230;
