;;;;;;;;
;;;;;;;;
Periodekalender;2025;;;;;;;
Kapittel Beskrivelse;All;;;;;;;
Kontonummer;(Flere elementer);;;;;;;
;;;;;;;;
Kontantbeløp;Kolonneetiketter;;;;;;;
;Bufetat;;;;;Bufdir;Totalsum;
Radetiketter;Region Midt-Norge;Region Nord;Region Sør;Region Vest;Region Øst;;;
Leie av lokaler og tilknyttede utgifter;;;;;;;;
Leie lokaler andre utleiere;;;;;;;;
;;;;;;  28 488 729;  28 488 729;
Borg barne- og  familiesenter;;;;;    ;;    ;
Buskerud barne- og familiesenter;;;   67 794;;;;   67 794;
Enhet for inntak, Bufetat region nord;;   13 364;;;;;   13 364;
Enhet for inntak, Bufetat region sør;;;   4 599;;;;   4 599;
Enhet for inntak, Bufetat region øst;;;;;    ;;    ;
Enhet for spesialiserte fosterhjem;;   7 489;;;;;   7 489;
Enhet for spesialiserte fosterhjem - region Øst;;;;;    879;;    879;
Familievernkontorene Drammen-Kongsberg;;;    805;;;;    805;
FHT region nord;;   23 406;;;;;   23 406;
Fosterhjemstjenesten, Bufetat region midt;   5 346;;;;;;   5 346;
Fosterhjemstjenesten, Bufetat region sør;;;   20 272;;;;   20 272;
Fosterhjemstjenesten, Bufetat region øst;;;;;    ;;    ;
Grøterød ungdomshjem;;;    581;;;;    581;
Gullhella barne- og  familiesenter;;;;;   1 287;;   1 287;
Hedmark ungdoms- og familiesenter - akutt;;;;;   1 621;;   1 621;
Humla Akuttsenter;   24 000;;;;;;   24 000;
Indre Finnmark Familievernkontor;;    787;;;;;    787;
Jong ungdoms- og familiesenter;;;;;   1 049;;   1 049;
Justøya behandling ungdom;;;    ;;;;    ;
Kasa Ungdomssenter;;;;    440;;;    440;
Katfoss behandling ungdom;;;   20 653;;;;   20 653;
Kirkenær barnevern- og omsorgssenter;;;;;   12 933;;   12 933;
Klokkerhuset ungdomssenter akutt;;;   7 527;;;;   7 527;
Kontorfaglig enhet;;;;   24 678;;;   24 678;
Kvammen akuttinstitusjon;   34 080;;;;;;   34 080;
Lierfoss ungdoms- og familiesenter - omsorg;;;;;   42 950;;   42 950;
Lunde behandlingssenter;;;   2 433;;;;   2 433;
MST Bodø;;   3 259;;;;;   3 259;
MST Mo i Rana;;   3 609;;;;;   3 609;
MST region sør;;;   7 979;;;;   7 979;
MST Sunnmøre;   5 849;;;;;;   5 849;
Multisystemisk  terapi-team Sarpsborg;;;;;    ;;    ;
Nasjonal enhet for behandlingstiltak;    380;;;;;;    380;
Nasjonalt samisk kompetansesenter;;    787;;;;;    787;
Nye Kvæfjord ungdomssenter;;   1 212;;;;;   1 212;
Nye Lamo ungdomssenter;;   19 959;;;;;   19 959;
Ranheim Vestre;   3 158;;;;;;   3 158;
Region vest senter for foreldre og barn;;;;    500;;;    500;
Regionale utgifter (regionkontor,fellestjenester);;;;   85 187;;;   85 187;
Regionkontor;   23 456;;    507;;   378 154;;   402 117;
Regionkontoret frikjøpte (tillitsvalgt osv);;    516;;;;;    516;
Ringerike omsorgssenter;;;;;   11 461;;   11 461;
Røvika Ungdomssenter;;   9 348;;;;;   9 348;
Sandnes Ungdomssenter;;;;   40 561;;;   40 561;
Senter for foreldre og barn Molde;   1 000;;;;;;   1 000;
Silsand ungdomssenter;;   28 996;;;;;   28 996;
Skjerven rusbehandling ungdom;;;    551;;;;    551;
Skjoldvegen barnevernsenter;;;;   1 980;;;   1 980;
Sogn og Fjordane ungdomsenter;;;;   18 825;;;   18 825;
Sogn og fjordane Ungdomssenter behandling høy;;;;   8 500;;;   8 500;
Sogndal Ungdomssenter;;;;   43 884;;;   43 884;
Sollia barne- og ungdomssenter;;   34 517;;;;;   34 517;
Spesialiserte fosterhjem;;;   5 047;;;;   5 047;
Spillumheimen undomsheim;   6 087;;;;;;   6 087;
Stab;;   10 104;;;;;   10 104;
Stavanger ungdomssenter;;;;   11 907;;;   11 907;
Sundstedtråkka ungdomssenter akutt;;;   102 694;;;;   102 694;
Sunnmørsheimen akuttsenter;   37 510;;;;;;   37 510;
Sunnmørsheimen ungdomsheim;   33 879;;;;;;   33 879;
Teknisk;;;   1 081;;;;   1 081;
Telemark og Vestfold ungdomshjem;;;   23 784;;;;   23 784;
Thorøya ungdomshjem;;;    58;;;;    58;
Tromsø Familievernkontor;;   9 489;;;;;   9 489;
Tromsø ungdomssenter;;   122 709;;;;;   122 709;
Trøndelag behandlingssenter for ungdom;   89 897;;;;;;   89 897;
Vestfold barne- og familiesenter;;;   1 112;;;;   1 112;
Vestfold ungdomssenter;;;    838;;;;    838;
Viktoria Familiesenter;    990;;;;;;    990;
Yttrabekken Ungdomshjem;;   7 879;;;;;   7 879;
Østfold ungdoms - og familiesenter - omsorg;;;;;   14 821;;   14 821;
Reparasjon og vedlikehold av anlegg, også serviceavtaler;;;;;;;;
Agder ungdomshjem;;;   27 595;;;;   27 595;
Agder ungdomssenter;;;   9 813;;;;   9 813;
Barkåker ungdomssenter;;;   16 730;;;;   16 730;
Bergen Akuttsenter Ungdom;;;;   13 577;;;   13 577;
Bodø behandlingssenter;;   33 900;;;;;   33 900;
Bufetats behandlingssenter Akershus_Østfold;;;;;   46 694;;   46 694;
Eikelund Ungdomssenter;;;;   5 465;;;   5 465;
Enhet for inntak, Bufetat region sør;;;   9 814;;;;   9 814;
Familievernkontoret for Bergen og omland;;;;   14 462;;;   14 462;
Familievernkontoret Kristiansund;    ;;;;;;    ;
FHT region nord;;   17 870;;;;;   17 870;
Fosterhjemstjenesten, Bufetat region sør;;;   14 275;;;;   14 275;
Hedmark ungdoms- og familiesenter - akutt;;;;;   47 283;;   47 283;
Karienborg ungdomsheim;   4 194;;;;;;   4 194;
Kvammen akuttinstitusjon;   38 072;;;;;;   38 072;
MST region sør;;;   8 922;;;;   8 922;
MST Sunnmøre;   4 757;;;;;;   4 757;
Nye Kvæfjord ungdomssenter;;   123 195;;;;;   123 195;
Ranheim Vestre;   10 500;;;;;;   10 500;
Regionale utgifter (regionkontor,fellestjenester);;;;   58 121;;;   58 121;
Røvika Ungdomssenter;;   8 802;;;;;   8 802;
Seksjon adopsjon;;;;;    341;;    341;
Skjoldvegen barnevernsenter;;;;   1 924;;;   1 924;
Sogndal Ungdomssenter;;;;   9 068;;;   9 068;
Spesialiserte fosterhjem;;;   2 677;;;;   2 677;
Sundstedtråkka ungdomssenter akutt;;;   172 894;;;;   172 894;
Sunnmørsheimen akuttsenter;   40 782;;;;;;   40 782;
Sunnmørsheimen ungdomsheim;   41 608;;;;;;   41 608;
Teknisk;;;    ;;;;    ;
Thorøya ungdomshjem;;;   31 654;;;;   31 654;
Tromsø ungdomssenter;;   17 324;;;;;   17 324;
Trøndelag behandlingssenter for ungdom;   351 922;;;;;;   351 922;
Vikhovlia akuttsenter;   2 499;;;;;;   2 499;
Viktoria Familiesenter;   9 755;;;;;;   9 755;
Fast bygningsinventar over kr 50 000;;;;;;;;
Innlandet barnevernsenter;;;;;    ;;    ;
Regionale utgifter (regionkontor,fellestjenester);;;;    ;;;    ;
Totalsum;  79 627 494;  80 961 634;  98 714 318;  77 825 300;  135 314 782;  31 636 305;  504 079 834;
