Lokalisering	Avtalenavn	Elements	Tilstandsgrad	Startdato	Sluttdato	Utleier	Utleier kategori	Hjemmelshaver	Status	Poststed	Adresselinje 1	Lok: Distrikt	Lok: Område	Type lokasjon	Areal	Antall godkjente plasser	Målgruppe	Adresse og Postnummer	kommunenavn	Fylke	Matrikkel Gnr	Matrikkel Bnr	Matrikkel Knr	org nr utleier	Areal inkl fellesareal i leiekontrakt (kvm)	Eksklusivt areal i leiekontrakt (kvm)	Tillegsareal iht addendum (kvm)	Reduksjon iht addendum (kvm)	tomteareal	leieregulering	Forlengelse og vilkår	p-plasser	Kontraktsleie ved oppstart (per år)	Kontraktsleie økning/reduksjon	Felleskostnader per år (ved kontraktsinngåelse)	Brukeravhengige driftskostander - Første driftsår	Kostnad til indre vedlikehold per år	Indre vedlikehold pr/kvm	Kostnader: kommunale gebyrer og renovasjon	Kostnad kortleser	Parkeringsleie kr per år	Merverdikompensasjon per år	Vaktmestertjenester kr per år	Energi til leieobjektet kr per år	Oppvarming pr år	Renhold pr år	Kontantinnskudd kr	Betaling administrativt arbeid Statsbygg	kommentar
1101 - FHT, ESF, MST, Inntak, RK, Bodø	FHT, ESF, MST, inntak Bodø			01.04.2020	31.03.2030	Heian AS	2		Aktiv	Bodø	Nordstrandveien 41	01 - Nord	01 - Nordland	Kontor	974			Norstrandveien 41, 8012 Bodø	Bodø		138	2374	1804	984528701	974	839				100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp	inkl 6 p-plasser	1560000		255600														
1102 - Bodø behandlingsenter	Bodø Behandlingssenter			14.09.2008	31.12.2025	Stein Johannesen AS	2		Aktiv	Bodø	Rønvikvn 9A,C	01 - Nord	01 - Nordland	Formålsbygg	836	5	Omsorg	Rønvikveien 9A og 9C, 8009 Bodø	Bodø		138	783 og 411 (snr1 og 2)	1804	989999559	836					60% av KPI på leie	JA, må vasle utleier om forlengelse min 9 mnd før utløp	15 plasser	1596000																
1104 - Røvika Ungdomssenter	Røvika Ungdomssenter			01.01.2004	31.12.2028	Statsbygg	1		Aktiv	Fauske	Røvikveien 21	01 - Nord	01 - Nordland	Formålsbygg	3938	8	Akutt og omsorg	Røvika, 82 Fauske - Skilvassbakk	Fauske Og Hamarøy		44 og 77	8 og 6 (fnr 21)	1841 og 1875	971278374	4000			- 62 kvm fra 2023		80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp	Leietaker betaler ikke for interne parkeringsplasser	40258422023			440000	2769892013	60											
1105 - FHT, kontorsted Sandnessjøen	FHT, kontorsted Sandnessjøen			15.12.2015	31.12.2025	Femur Eiendom AS	2		Aktiv	Sandnessjøen	Torolv Kveldulvsonsgt 39	01 - Nord	01 - Nordland	Kontor	335			Torolv Kveldulvsonsgt 39, 8800 Sandnessjøen	Alstahaug		37	199	1820	989301179	335	300				100% av KPI på leie	Ikke oppgitt	2 plasser	402000		96000						10800								
1106 - Sollia barne- og ungdomssenter	Sollia barne- og ungdomssenter + fosterhjemstjenesten			01.01.2010	01.01.2030	Statsbygg	1		Aktiv	Sortland	Idrettsvn 5	01 - Nord	01 - Nordland	Formålsbygg	1556	5	Omsorg	Idrettsveien 5, 8400 Sortland	Sortland		15	1896	1870	971278374	1556					80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp		2150000			170000	108000	70											
1107 - Yttrabekken ungdomssenter	Yttrabekken ungdomssenter			01.01.2007	31.12.2026	Statsbygg	1		Aktiv	Mo I Rana	Brennstadmoen 23	01 - Nord	01 - Nordland	Formålsbygg	918	3	Behandling høy	Brennstadmoen 23 og Åkerhåjen 20, 8614 Mo i Rana	Rana		131	827 og 832	1833	971278374	984					100% av KPI på leie	JA, må vasle utleier om forlengelse min 9 mnd før utløp	inkl p-plasser	2840000			384000	146000	148											
1110 - FVK, Lofoten og Vesterålen	FVK, Lofoten og Vesterålen			01.06.2018	01.06.2026	Stilo AS	2		Aktiv	Stokmarknes	Markedsgt 20	01 - Nord	01 - Nordland	Familievernkontor	300			Markedsgata 20b, 8450 Stokmarknes	Hadsel		65	69	1866	912346552	300					100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp	Parkering i Ranværingsgata 1	304372		25000														
1112 - Bodø Familievernkontor	FVK Bodø			02.01.2023	31.03.2030	Storgata 27/29 Sentrum AS	2		Aktiv	Bodø	Storgata 27/29	01 - Nord	01 - Nordland	Familievernkontor	569			Storgata 27/29, 8006 Bodø	Bodø		138	2200	1804	922997551	568	476				100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp	ingen parkeringspaseer	889702		32688							162022							
1113 - Ole Tobias Olsens gate 19	Ole Tobias Olsens gate 19			01.08.2023	31.12.2030	Bane NOR Eiendom AS	2		Aktiv	Mo I Rana	Ole Tobias Olsens gate 19	01 - Nord	01 - Nordland	Kontor	154			Ole Tobias Olsens gate 19, 8622 Mo i Rana	Rana		20	268	1833	980374505	154	124				100% av KPI på leie			155000		48400														
1114 - Fiskergata 22	FVK, utekontor LOVE			02.10.2023	01.10.2029	Fiskergata 22 Svolvær AS	2		Aktiv	Svolvær	Fiskergata 22	01 - Nord	01 - Nordland	Familievernkontor	112			Fiskergata 22, 8300 Svolvær	Vågan		18	697	1865	920162894	112	92				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	inkl felles p-plasser	139464		47124							34894							
1115 - Storgata 31, 8370 Leknes	Storgata 31, 8370 Leknes			22.03.2022	22.03.2028	Lofoteiendom AS	2		Aktiv	Leknes	Storgata 31	01 - Nord	01 - Nordland	Familievernkontor	13			Storgata 31, 8370 Leiknes	Vestvågøy		18	200	1860	899271882	13					100% av KPI på leie	Fortsetter å løpe om ikke oppsigelse er innsendt	1 p-plass per leietaker	55200																* Om oppsigelse ikke er sendt av leietaker eller utleier fortsetter leieforhold å løpe etter 21.03.2025 m/6 mnd gjensidig oppsigelsestid.
1116 - FHT, kontorsted Sandnessjøen	FHT, kontorsted Sandnessjøen (OBS! aktiv fra 01.01.2026!)			01.01.2026	30.11.2033	Femur Eiendom AS	2		Aktiv	Sandnessjøen	Torolv Kveldulvsonsgt 39	01 - Nord	01 - Nordland	Kontor	0			Torolv Kveldulvsonsgt 39, 8800 Sandnessjøen	Alstahaug						se hovedkontrakt					se hovedkontrakt																			
1117 - Bodø ungdomssentersenter	Bodø ungdomssenter			02.09.2025	31.03.2055	Statsbygg	1		Aktiv	Bodø	Skoleveien 9	01 - Nord	01 - Nordland	Formålsbygg	1472	6	Omsorg	Skoleveien 9, 8009 Bodø	Bodø		31	137	1804	971278374	1472				3800	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	15 plasser	8051000			487000	167000	114											
1118 - FVK, kontorsted Narvik	FVK, kontorsted Narvik			01.08.2025	01.10.2035	Narvikgården utleiebygg AS	2		Aktiv	Narvik	Kongens gate 51-55	01 - Nord	01 - Nordland	Familievernkontor	358			Kongens gate 51-55, 8514 Narvik	Narvik		40	113	1806	992843012	358					100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		639030		26850							712778							
1119 - FVK, Lofoten og Vesterålen	FVK, Lofoten og Vesterålen (Aktiv fra 01.05.2026)			01.05.2026	01.05.2036	Nordkraft eiendom AS	2		Aktiv	Stokmarknes	Nordnesveien 3	01 - Nord	01 - Nordland	Familievernkontor	0			Nordnesveien 3, 8450 Stokmarknes																															
1202 - FVK/NASAK, Karasjok	FVK/NASAK, Indre Finnmark			01.01.2018	31.12.2026	Fitnodatgeaidnu 41 AS	2		Aktiv	Karasjok	Fitnodatgeaidnu 41-43	01 - Nord	02 - Troms og Finnmark	Familievernkontor	382			Fitnodatgeaidnu 41-43, 9730 Karasjok	Karasjok		9	1 (fnr: 166)	5610	997712773	260		#ERROR!			100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp				72000														*Ombyggingskoastander nedbetales med 68000 per år de første 7 år av leieforholdet. + rentekost på 6%. * påløper ombyggingskos i 2021 på 450000,- faktureres direkte.
1204 - FVK, FHT mf. Finnsnes	FVK, FHT, mf. Finnsnes			01.10.2019	01.10.2029	Harila Gruppen Eiendom AS	2		Aktiv	Finnsnes	Hans Karolius vei 6	01 - Nord	02 - Troms og Finnmark	Familievernkontor	531			Hans Karolius vei 6, 9300 Finnsnes	Lenvik		44	890	5530	995916835	511	423				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	3 plasser eks leie	761390		143720						50040	0		72560					
1205 - Alta Ungdomssenter	Alta Ungdomssenter			01.01.2008	31.12.2027	Statsbygg	1		Aktiv	Alta	Strandvn 6	01 - Nord	02 - Troms og Finnmark	Formålsbygg	1478	8	Akutt og omsorg	Strandveien 6, 9511 Alta	Alta		27	1185	5403	971278374	1478					80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp		2625430			130000	88700	60											
1206 - Kvæfjord Ungdomssenter	Kvæfjord Ungdomssenter			01.06.2010	31.05.2030	Statsbygg	1		Aktiv	Borkenes	Heimlyvn 5	01 - Nord	02 - Troms og Finnmark	Formålsbygg	1518	8	Omsorg	Heimlyveien 5, 9475 Borkenes	Kvæfjord		54	7 og 89	5411	971278374	1518					80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp		3720000			150000	91080	60											
1209 - ESF, FHT, RK, beredskapshjem, Tromsø	ESF, FHT, RK, beredkapshjem Tromsø			01.01.2019	01.01.2029	Triko Storgata 70 Tromsø AS	2		Aktiv	Tromsø	Storgata 70	01 - Nord	02 - Troms og Finnmark	Kontor	907			Storgata 70, 9008 Tromsø	Tomsø		200	1524	5501	920813119	780	700	#ERROR!			100% av KPI på leie	JA, må vasle utleier om forlengelse min 8 mnd før utløp	6 plasser på nærmere vilkår iht tilbudsbrev *	1404000		44290						108000	33017							* Administrasjonspasiag på 5% på alle kostnader ramset opp i bilag relatert til felleskostander.
1210 - Solbakken barne- og familiesenter	Solbakken barne- og familiesenter			01.08.2007	31.12.2026	Statsbygg	1		Aktiv	Tromsø	Solbakken 12	01 - Nord	02 - Troms og Finnmark	Formålsbygg	1398	0	BFS	Solbakken 12, 9006 Tromsø	Tromsø				5501	971278374	1398							Forespurt LT om kontrakt kun tilleggskontrakt***																	
1211 - FHT, FVK, beredskapshjem, FIT Hammerfest	FVK, FHT, beredskapshjem, FIT Hammerfest			01.07.2019	30.06.2029	Isbjørn Eiendom AS	2		Aktiv	Hammerfest	Sørøygt 10	01 - Nord	02 - Troms og Finnmark	Familievernkontor	958			Sørøygata 10, 9600 Hammerfest	Hammerfest		25	238	5601	983767354	958					80% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp	inkl 6 p-plasser	1700000		97000														
1212 - KUS SKM, FVK, RK Harstad	Håkonsgate 4, Harstad			01.09.2022	31.08.2029	Harstad Etatbygg AS	2		Aktiv	Harstad	Håkonsgt 4	01 - Nord	02 - Troms og Finnmark	Kontor	916			Håkons gate 4, 9405 Harstad	Harstad		60	258	5503	812847252	916	811				80% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp	2 plasser tilbys til 30.000,-	1456440		251900							364110							
1213 - Tromsø Ungdomssenter	Tromsø Ungdomssenter			01.10.2006	31.12.2026	Statsbygg	1		Aktiv	Kvaløysletta	Håkøyvn 339	01 - Nord	02 - Troms og Finnmark	Formålsbygg	1577	5	Akutt	Håkøyvegen 343 og 345, 9100 Kvaløysletta	Tromsø		68	194	5401	971278374	1666					100% av KPI på leie	JA, må vasle utleier om forlengelse min 9 mnd før utløp	inkl p-plasser	4108000			507000	161000	52											
1214 - ESF, FHT, RK Vadsø	ESF, FHT, RK Vadsø			01.01.2024	30.06.2025	Statsbygg	1		Aktiv	Vadsø	Grensen 7	01 - Nord	02 - Troms og Finnmark	Kontor	207			Grensen 7, 9800 Vadsø	Vadsø		10	0	5405	971278374	207					100% av KPI på leie	Ikke oppgitt	inkl 6 p-plasser	188370			30000	10557	51						41200					* Vises til leieforhold fra 2008. ingen tidligere kontrakter på sak. ** 3% administrasjonskostander i tillegg til energi
1216 - FVK, MST, THK Tromsø	FVK, MST, FHK, RK Tromsø			01.02.2021	31.12.2028	Brennbygget AS	2		Aktiv	Tromsø	Kaigata 4	01 - Nord	02 - Troms og Finnmark	Familievernkontor	1478			Kaigata 4, 9008 Tromsø	Tromsø		200	1669	5401	940417171	1477	1297				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	inkl 4 p-plasser	3250550		380000							2955052021							* Oppdaterte tall brukt fra addendum
1217 - Lamo Ungdomssenter	Lamo Ungdomssenter, hovedkontrakt			01.01.2012	31.12.2031	Statsbygg	1		Aktiv	Sjøvegan	Eideveien 168	01 - Nord	02 - Troms og Finnmark	Formålsbygg	1516	5	Omsorg	Laberg 9350 Sjøvegan	Salangen		43	12, 166 og 336	5417	971278374	1284					100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp		2673000			110000	77040	60											
1217 - Lamo Ungdomssenter	Lamo Ungdomssenter, tilleggskontrakt 50-tallshuset			08.05.2023	30.04.2025	Statsbygg	1		Aktiv	Sjøvegan	Eideveien 168	01 - Nord	02 - Troms og Finnmark	Formålsbygg	1284	0		Laberg 9350 Sjøvegan	Salangen		43	12, 166 og 336	5417	971278374	232					100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp		224000			55000	18735												
1217 - Lamo Ungdomssenter	Lamo Ungdomssenter, tilleggskontrakt 80-tallshuset			01.07.2023	30.04.2025	Statsbygg	1		Aktiv	Sjøvegan	Eideveien 168	01 - Nord	02 - Troms og Finnmark	Formålsbygg	0	0		Laberg 9350 Sjøvegan	Salangen		43	12, 166 og 336	5417	971278374	232					100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp		220000			55000	18735												
1217 - Lamo Ungdomssenter	Lamo Ungdomssenter, tilleggskontrakt ombygging familieleilighet			01.01.2020	31.12.2031	Statsbygg	1		Aktiv	Sjøvegan	Eideveien 168	01 - Nord	02 - Troms og Finnmark	Formålsbygg	0	0		Laberg 9350 Sjøvegan	Salangen		43	12, 166 og 336	5417	971278374						100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp																		
1218 - Regionkontoret, Inntak, AT, FVK Alta	FVK, Regionkontoret, Inntak Alta			01.09.2022	31.08.2032	Nordlysbyen eiendom AS	2		Aktiv	Alta	Løkkeveien 33	01 - Nord	02 - Troms og Finnmark	Familievernkontor	442			Løkkeveien 33, 9510 Alta	Alta		28	232	5403	919613483	1486	1178				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		2971713		445980							294347							
1221 - Islandsbotnveien 35	Islandsbotnveien 35			01.06.2024	31.05.2034	Consept Eiendom AS	2		Aktiv	Silsand	Islandsbotnveien 35	01 - Nord	02 - Troms og Finnmark	Formålsbygg	472	3	Behandling høy	Islandsbotnveien 35, 9303 Silsand	Senja		58	26	5421	984302053	472					100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp	inkl 6 p-plasser + 2 i garasje	1900000																
1222 - KUS SKM, psykologspesialist Kirkenes	KUS SKM Kirkenes			01.08.2024	01.08.2099	International Barents Secretariat	2		Aktiv	Kirkenes	Wiulls gate 3	01 - Nord	02 - Troms og Finnmark	Kontor	10			Wiulls gate 3, 9900 Kirkenes	Sør-Varanger		27	8 (Snr 35 og 148)	5605	992910801	8					100% av KPI på leie	Leieforholdet løper på ubestemt tid		78000																
2314 - Ranheim Vestre	Ranheim Vestre			01.01.2021	31.12.2030	Bjørnen Eiendom AS	2		Aktiv	Ranheim	Peder Myhres vei 16	02 - Midt-Norge	03 - Trøndelag	Formålsbygg	1000	7	Omsorg	Peder Myhres veg 16, 7054 Trondheim	Trondheim		23	309	5001	983742246	1000					100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp	inkluderer parkeringsplasser som er opparbeidet på eiendommen.	1100000		98920														
2315 - Viktoria familiesenter	Tilleggskontrakt Viktoria			01.01.2013	30.06.2028	Statsbygg	1		Aktiv	Trondheim	Østmarkveien 26 D/E	02 - Midt-Norge	03 - Trøndelag	Formålsbygg	0	0		Østmarkveien 26 D/E, 7040 Trondheim	Trondheim		413	125	5001	971278374	260								687760			70000													* midlertidige brakker som skal demonteres. Leie + 7%i adm. Gebyr og sikringsgebyr.
2315 - Viktoria familiesenter	Viktoria familiesenter			07.01.2008	30.06.2028	Statsbygg	1		Aktiv	Trondheim	Østmarkveien 26 D/E	02 - Midt-Norge	03 - Trøndelag	Formålsbygg	920	0	BFS	Østmarkveien 26 D/E, 7040 Trondheim	Trondheim		413	125	5001	971278374	920					80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp		856000			127000	59220	64											
2323 - Orkdal barnevernsenter	Kvammen akuttsenter, avd Fannrem			11.01.2015	31.10.2025	Orkdal kommune	2		Aktiv	Fannrem	Ljåmovein 10	02 - Midt-Norge	03 - Trøndelag	Formålsbygg	709	4	Akutt	Ljåmovegen 10, 7320 Fannrem	Orkland				5059	991193367	709				4460	80% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp		990000																
2324 - Kvammen Gård	Kvammen Gård			07.01.2007	01.01.2027	Statsbygg	1		Aktiv	Melhus	Hølondvegen 311	02 - Midt-Norge	03 - Trøndelag	Formålsbygg	1313	5	Akutt	Hølondvegen 311, 7224 Melhus	Melhus		21	1	5028	971278374	1313					100% av KPI på leie	JA, må vasle utleier om forlengelse min 9 mnd før utløp		3359000			353000	249000	190											
2325 - Gilantunet ungdomshjem (oppsagt)	Gilantunet ungdomshjem (Løpende avtale)			10.01.2011		Kulbrandstad, Nils Karl	2		Aktiv	Gåsbakken	Konstadlykkjvegen 55	02 - Midt-Norge	03 - Trøndelag	Formålsbygg	1116	7	Omsorg	Konstadlykkjvegen 55	Ålesund		52	8 og 32	1508	997296591	1116					100% av KPI på leie			1564258																
2327 - Vikhovlia akuttsenter	Vikhovlia akuttsenter			01.05.2024	30.04.2034	Bybroen Bolig AS	2		Aktiv	Vikhammer	Vikhovlia 1400	02 - Midt-Norge	03 - Trøndelag	Formålsbygg	1280	6	Akutt	Vikhovlia 1400, 7560 Vikhammer	Malvik		5	397	5031	979674562	1280					100% av KPI på leie			1836000		153600														*admin gebyt på 3% i tillegg til felleskost
2328 - Spillumheimen ungdomsheim	Spillumheimen ungdomsheim (legges ut for salg medio mars 2025)			01.01.2024	31.12.2033	Statsbygg	1		Aktiv	Spillum	Grønlihøgda 24	02 - Midt-Norge	03 - Trøndelag	Formålsbygg	945	0	Til salgs	Grønlihøgda 24, 7820 Spillum	Namsos		21	64	5007	971278374	945				30712	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		564000			448000	76080	80											
2330 - Familievern-kontoret i Namsos	Familievern-kontoret i Namsos			08.01.2007	31.07.2027	Forsikringsgården AS	2		Aktiv	Namsos	Abel Meyers gate 10	02 - Midt-Norge	03 - Trøndelag	Familievernkontor	424			Abel Meyers gate 10, 7800 Namsos	Namsos		65	1020	5007	981164156	424					80% av KPI på leie	JA, må vasle utleier om forlengelse min 15 mnd før utløp		462395		112466														
2331 - Stjørdal ungdomssenter	Stjørdal ungdomssenter			12.01.2005	30.11.2025	Statsbygg	1		Aktiv	Stjørdal	Kirkeveien 33	02 - Midt-Norge	03 - Trøndelag	Formålsbygg	0	0		Kirkevegen 33, 7514 Stjørdal	Stjørdal		107	1	5035		se hovedkontrakt																								
2331 - Stjørdal ungdomssenter	Stjørdal ungdomssenter tilleggsavtale			04.01.2010	30.11.2025	Statsbygg	1		Aktiv	Stjørdal	Kirkeveien 33	02 - Midt-Norge	03 - Trøndelag	Formålsbygg	0	0		Kirkevegen 33, 7514 Stjørdal	Stjørdal		107	1	5035	971278374	1270			- 1022 kvm fra 01.01.2022 (brann)		100% av KPI på leie - 80% av KPI fra 01.01.2010	JA, må vasle utleier om forlengelse min 6 mnd før utløp	Parkeringsplassene er inkludert						40											
2333 - Karienborg ungdomsheim	Karienborg ungdomsheim			01.10.2021	30.09.2031	Statsbygg	1		Aktiv	Levanger	Okkenhaugveien 13B	02 - Midt-Norge	03 - Trøndelag	Formålsbygg	716	6	Omsorg	Okkenhaugvegen 13B, 7604 Levanger	Levanger		275	795	5037	971278374	808					100% av KPI på leie	JA, må vasle utleier om forlengelse min 9 mnd før utløp		1060000			191130	71000	92											
2335 - Familievern-kontoret i Levanger	Familie og barn tjenesten og MST Nord-Trøndelag			04.01.2009	30.04.2025	JNS Eiendom AS	2		Aktiv	Levanger	Jernbanegata 11/13	02 - Midt-Norge	03 - Trøndelag	Kontor	968			Jernbanegata 11/13, 7600 Levanger	Levanger		315	164 og 165	5037	985277206	346	289				100% av KPI på leie	JA, leieavtale forlenges automatisk for 5 år i 2017 deretter mulighet for 5 år fra 2022.		419760		120840														
2335 - Familievern-kontoret i Levanger	Familievern-kontoret i Levanger			05.01.2010	30.04.2025	JNS Eiendom AS	2		Aktiv	Levanger	Jernbanegata 11/13	02 - Midt-Norge	03 - Trøndelag	Familievernkontor	0			Jernbanegata 11/13, 7600 Levanger	Levanger		315	164 og 165	5037	985277206	561	476				100% av KPI på leie	JA, automatis forlengelse i 5 år i 2025		800280		202176														
2335 - Familievern-kontoret i Levanger	Familivernkontoret Levanger Tilleggsavtale.			10.01.2011	30.04.2025	JNS Eiendom AS	2		Aktiv	Levanger	Jernbanegata 11/13	02 - Midt-Norge	03 - Trøndelag	Familievernkontor	0			Jernbanegata 11/13, 7600 Levanger	Levanger					985277206	61								88937		26154														
2338 - Fosterhjemstjeneste Steinkjer, Inntak Steinkjer	Fosterhjemstjeneste Steinkjer, Inntak Steinkjer			01.01.2019	31.12.2028	Bomveien 3 ANS	2		Aktiv	Steinkjer	Bomveien 3	02 - Midt-Norge	03 - Trøndelag	Kontor	413			Bomveien 3	Steinkjer		197	12676	5006	994241451	413	333				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	Leieobjektet inkluderer paprkeringplasser i tilknytning til og rundt eiendommen.	444000		166500														
2339 - Buvika ungdomssenter	Buvika ungdomssenter			16.03.2020	28.02.2030	Statsbygg	1		Aktiv	Buvika	Hanskleiva 25	02 - Midt-Norge	03 - Trøndelag	Formålsbygg	447	3	Behandling lav	Hanskleiva 25	Skaun		31	8	5029	971278374	447					100% av KPI på leie	JA, må vasle utleier om forlengelse min 9 mnd før utløp		688000			21000	14000	33											
2341 - Pirsenteret - Regionkontor	Bufetat Trondheim			01.08.2022	31.07.2032	Pirsenteret AS	2		Aktiv	Trondheim	Havnegata 9	02 - Midt-Norge	03 - Trøndelag	Kontor	3777			Havnegata 9, 7010 Trondheim	Trondheim		439	126	5001	998164559	3467	2646				100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp	ikke inkl	6974560		1213450							203474							
2342 - Åsvangveien 2A	Åsvangveien 2A - Trøndelag Behandlingssenter Moholt			01.03.2022	28.02.2027	Stiftelsen kirkens bymisjon i Trøndelag	2		Aktiv	Trondheim	Åsvangveien 2A	02 - Midt-Norge	03 - Trøndelag	Formålsbygg	344	3	Behandling høy	Åsvangvegen 2A, 7049 Trondheim	Trondheim		53	274	5001	971543884	344					100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp	inkl 2 p-plasser	720000						37272										
2343 - Forbordsfjellvegen 119	Forbordsfjellvegen 119 - Skatval ungdomssenter			01.12.2023	31.12.2033	Svein og Ranka Kvarving	2		Aktiv	Skatval	Forbordsfjellvegen 119	02 - Midt-Norge	03 - Trøndelag	Formålsbygg	1154	4	Behandling høy	Forbordsfjellvegen 119	Skatval						1154																								
2401 - Senter for familie og barn, Molde	Senter for familie og barn, Molde			01.01.2009	31.12.2028	Statsbygg	1		Aktiv	Molde	Bastian Withs gt 11	02 - Midt-Norge	04 - Møre og Romsdal	Formålsbygg	296	0	BFS	Bastian Widths gt 11, 6415 Molde	Molde		25	1077	1506	971278374	296					80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp	inkl 3 p-plasser + 1 i garasje	509000			24000	11840	40											
2402 - Senter for foreldre og barn, Adm.lokaler	Senter for foreldre og barn, Adm.lokaler			12.01.2016	30.11.2026	Amfi Bygg Roseby AS	2		Aktiv	Molde	Frænaveien 16	02 - Midt-Norge	04 - Møre og Romsdal	Kontor	659			Frænaveien 16	Molde						659																								
2403 - Familievernkontoret i Molde	Fosterhjemstjenesten Molde			12.01.2016	30.11.2026	Thon Hotellbygg AS	2		Aktiv	Molde	Storgata 12 - 14	02 - Midt-Norge	04 - Møre og Romsdal	Kontor	629			Storgata 12-14, 6413 Molde	Molde		24	821	1506	830898042	377	315				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	inkl 2 p-plasser	716304		98016														
2403 - Familievernkontoret i Molde	Familievernkontoret i Molde			06.01.2017	31.05.2027	Thon Hotellbygg AS	2		Aktiv	Molde	Storgata 12 - 14	02 - Midt-Norge	04 - Møre og Romsdal	Familievernkontor	629			Storgata 12-14, 6413 Molde	Molde		24	821	1506	830898042	629	526				100% av KPI på leie		inkl 3 p-plasser			163596														
2405 - Clausenengen ungdomshjem	Clausenengen ungdomshjem			07.01.2012	07.01.2032	Statsbygg	1		Aktiv	Frei	Kvalvågveien 113	02 - Midt-Norge	04 - Møre og Romsdal	Formålsbygg	421	4	Omsorg	Kvalvågveien 113, 6521 Frei	Kristiansund		135	117	1505	971278374	421					80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 12 mnd før utløp		538000			38000	16000	42											
2406 - Husafjellheimen	Husafjellheimen			01.05.2022	30.04.2032	Statsbygg	1		Aktiv	Ålesund	Husafjellet 6	02 - Midt-Norge	04 - Møre og Romsdal	Formålsbygg	1023	6	Omsorg	Husafjellet 6, 6009 Ålesund	Ålesund		138 og 139	14 og 304 (snr2 og 3)	1508	971278374	1023					100% av KPI på leie	JA, må vasle utleier om forlengelse min 9 mnd før utløp		3057000			220000	104000	102											
2408 - Humla Akuttsenter	Humla Akuttsenter			08.01.2014	31.07.2029	Løkka Trading AS	2		Aktiv	Ålesund	Humlevegen 92	02 - Midt-Norge	04 - Møre og Romsdal	Formålsbygg	527	4	Akutt	Humlevegen 92, 6020 Ålesund	Ålesund		52	8 og 32	1508		527								984000				60000												
2408 - Humla Akuttsenter	Humla Akuttsenter - Tilleggsavtale ombygging hovedhus			01.01.2023	31.07.2029	Løkka Trading AS	2		Aktiv	Ålesund	Humlevegen 92	02 - Midt-Norge	04 - Møre og Romsdal	Formålsbygg	0	0		Humlevegen 92, 6020 Ålesund	Ålesund		52	8 og 32	1508		se hovedkontrakt					se hovedavtale	se hovedkontrakt		31971																
2409 - Fosterhjemstjeneste avd. Ålesund, familievernkontoret Ålesund	Fosterhjemstjeneste avd. Ålesund, familievernkontoret Ålesund			11.01.2019	31.10.2029	Daaskogen Eiendom AS	2		Aktiv	Ålesund	Langelandsveien 17	02 - Midt-Norge	04 - Møre og Romsdal	Familievernkontor	1485			Langelandsvegen 17, 6010 Ålesund	Ålesund		25	337	1508	977362334	1485					100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	Egen avtale: 20 pallser gratis i 2 år. Opsjon på leie av plasser se bilag 5.	2108000		297000														
