Lokalisering	Avtalenavn	Elements	Tilstandsgrad	Startdato	Sluttdato	Utleier	Utleier kategori	Hjemmelshaver	Status	Poststed	Adresselinje 1	Lok: Distrikt	Lok: Område	Type lokasjon	Areal	Antall godkjente plasser	Målgruppe	Adresse og Postnummer	kommunenavn	Fylke	Matrikkel Gnr	Matrikkel Bnr	Matrikkel Knr	org nr utleier	Areal inkl fellesareal i leiekontrakt (kvm)	Eksklusivt areal i leiekontrakt (kvm)	Tillegsareal iht addendum (kvm)	Reduksjon iht addendum (kvm)	tomteareal	leieregulering	Forlengelse og vilkår	p-plasser	Kontraktsleie ved oppstart (per år)	Kontraktsleie økning/reduksjon	Felleskostnader per år (ved kontraktsinngåelse)	Brukeravhengige driftskostander - Første driftsår	Kostnad til indre vedlikehold per år	Indre vedlikehold pr/kvm	Kostnader: kommunale gebyrer og renovasjon	Kostnad kortleser	Parkeringsleie kr per år	Merverdikompensasjon per år	Vaktmestertjenester kr per år	Energi til leieobjektet kr per år	Oppvarming pr år	Renhold pr år	Kontantinnskudd kr	Betaling administrativt arbeid Statsbygg	kommentar
4822 - Klokkerhuset	Klokkerhuset			01.05.2005	31.12.2025	Sykehuset Telemark	2		Aktiv	Skien	Ulefossveien 53	04 - Sør	08 - Vestfold og Telemark	Formålsbygg	799	6	Akutt	Ulefossvegen 55, 3730 Skien	Skien		216	138	4003	983975267	799					100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp	Etter gjeldende reglement	729500		40000	100000													* Vedlegg til kontrakt "parkeringsanvisning" ligger ikke vedlagt kontrakt.
4823 - Solerødveien 50	Solerødveien 50			01.03.2024	01.03.2034	Solerødveien AS	2		Aktiv	Skoppum	Solerødveien 50	04 - Sør	08 - Vestfold og Telemark	Formålsbygg	330	0		Solerødveien 50, 3185 Skoppum	Horten		5	17 og 20	3801	915125789	280					100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	Arealmarkering på kart + garasje bygges med plass til 4	600000										30000						
4901 - Sundstedtråkka	Sundstedtråkka ungdomssenter akutt			01.04.2018	30.05.2028	Sundet ANS	2		Aktiv	Hokksund	Storgaten 62-64	04 - Sør	09 - Viken - Sørvest	Formålsbygg	1300	5	Akutt	Storgaten 62-64, 3303 Hokksund	Øvre Eiker		102	16 og 51	3311	982785502	1300					100% av KPI på leie		Leieobjektet inkluderer alle parkeringsplasser på Eiendommen som benyttes av Bufetat i dag.																	* Henvises til tidligerer kontrakt fa jan 2003 som ikke ligger i mappestrkturen. * Henvises til mail vedr tilleggsleie som ikke er vedlagt.
4902 - Kantum	Kantum			10.09.2009	30.05.2028	Eiker Eiendomsutvikling AS	2		Aktiv	Hokksund	Baneveien 19	04 - Sør	09 - Viken - Sørvest	Formålsbygg	236	3	Akutt	Baneveien 19, 33 Hokkund	Øvre Eiker		77	1077	3311	965690328	236				se "mangler"	100% av KPI på leie	JA, rett til forlengelse på 12 mnd	Leieobjektet inkluderer parkeringsplasser, herunder en garasje og en carport. Se "mangler"	360000,202						130002021										*Leieavtalen er en videreføring av opprinnelig leieavtale, inngått 10.09.2009 (ikke vedlagt). * Mangler Bilag 1 (arealoversikt og tegninger, Bilag 2 (Kravspesefikasjon), Bilag 3 (Parkeringsplasser), Bilag 4 (felleskostander), Bilag 5 (Fordelingsnøkkel for felleskosnader).
4903 - Katfoss	Katfoss			01.06.2021	01.06.2026	Bårud Eiendom	2		Aktiv	Geithus	Ilaugveien 1	04 - Sør	09 - Viken - Sørvest	Formålsbygg	400	3	Behandling høy	Ilaugveien 1, 3360 Geithus	Modum		89	357	3312	865507682	400				3500	100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp	Inkludert i leie. se "mangler"	587004		81250														* kontrakt utgått? Eller forlenget uten å ligge i systemet? * Mangler bilag 1 (arealoversikt og tegninger, inkludert parkeringsplasser), Mangler bilag 2 (felleskostander). Leiekontrakt ikke signert av leietaker.
4911 - Erik Børresen	Erik Børresen			01.01.2004	30.06.2027	Stiftelsen Erik Børresen	2		Aktiv	Drammen	Wildhagensvei 17	04 - Sør	09 - Viken - Sørvest	Formålsbygg	1430	0	BFS	Wildhagens vei 17, 3019 Drammen	Drammen		114	1307	3005	979654383	1430				9000	100% av KIP på vedlikehold, driftskostander og administrativt arbeid	JA, gitt visse vilkår		7000002021			234002003	2047502003											455002003	
4912 - Bufetathus Drammen	Bufetathus Drammen			01.10.2017	30.09.2027	Grønland 68 AS	2		Aktiv	Drammen	Grønland 68	04 - Sør	09 - Viken - Sørvest	Kontor	2288			Grønland 68, 3045 Drammen	Drammen		110	188	3005	997403541	2261					100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	ikke inkl p-plasser			452200200														*Mangler bilag 2 "Tegninger". * Mangler leieavtale på 4 etasje (kun forlengelse)
4921 - Lågen	Lågen			01.01.2022	01.01.2052	Statsbygg	1		Aktiv	Kongsberg	Frogsvei 21-25	04 - Sør	09 - Viken - Sørvest	Formålsbygg	1622	10	Omsorg	Frogs vei 21-25 og Henriette Hopes vei 1-5, 3611 Kongsberg	Kongsberg		8194	12, 3 og del av 1	3301	971278374	1622					100% av KPI på leie	JA, må vasle utleier om forlengelse min 9 mnd før utløp	15 plasser + 1 HC	5900000			416000	82000	51											
5101 - Grønlandsleiret 25, 0191 Oslo	Familievernkontoret Enerhaugen (Grønlandsleiret)			01.05.2025	01.05.2035	Grønlandsleiret 25 AS	2		Aktiv	Oslo	Grønlandsleiret 25	05 - Øst	11 - Oslo og Viken	Familievernkontor	1605			Grønlandsleiret 25, 0190 Oslo	Oslo		230	91	301	981372433	1605	1425				100% av KPI på leie		ikke inkl p-plasser	4575675			581000						866970							
5103 - Nymosvingen 6, 2609 Lillehammer	Familievernkontoret Innlandet Vest, avdeling Lillehammer			01.12.2021	14.09.2031	Dotterud Eiendom - Dotterud Eiendom AS	2		Aktiv	Lillehammer	Nymosvingen 6	05 - Øst	10 - Innlandet	Familievernkontor	374			Nymosvingen 6, 2609 Lillehammer	Lillehammer		200	940	3405	923037950	373	311				100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp	ikke inkl	523320		167040														
