Lokalisering	Avtalenavn	Elements 	Tilstandsgrad	Startdato	Sluttdato	Utleier	Utleier kategori	Hjemmelshaver	Status	Poststed	Adresselinje 1	Lok: Distrikt	Lok: Område	Type lokasjon	Areal	Antall godkjente plasser	Målgruppe	Antall ansatte per kontor/familievernkontor	Adresse og Postnummer 	kommunenavn	Fylke	Matrikkel Gnr	Matrikkel Bnr	Matrikkel Knr	org nr utleier	Areal inkl fellesareal i leiekontrakt (kvm)	Eksklusivt areal i leiekontrakt (kvm) 	Tillegsareal iht addendum (kvm)	Reduksjon iht addendum (kvm)	tomteareal	leieregulering	forlengelse &vilkår	p-plasser	Kontraktsleie ved oppstart (per år)	kontraktsleie ønkning /reduksjon 	Oppstartsdato (KPI-grunnlag) - Gyldig kontrakt 	Kontaktsleie ved oppstart (gyldig kontrakt)	KPI-justert kontraktsleie til okt 2025	Indre vedlikehold	KPI-justert indre vedlikehold	Felleskostnader per år (ved kontraktsinngåelse) 	Brukeravhengige driftskostander - Første driftsår	Indre vedlikehold pr/kvm	Kostnander: kommunale gebyrer og renovasjon	Kost kortleser	Parkeringsleie kr per år	Merverdikompensasjon per år 	Vaktmestertjenester kr per år	Energi til leieobjektet kr per år	Oppvarming pr år	Renhold pr år	Kontantinnskudd kr	Betaling administrativt arbeid Statsbygg	kommentar 						
3504 - KASA Lindshaug	F3 barn - Lindshaugvegen 110	2005/7370-13		01.01.2006	31.12.2025	Statsbygg	1		Aktiv	BLOMSTERDALEN	Lindshaugvegen 110	03 - Vest	05 - Vestland	Formålsbygg	287	4	Omsorg		Lindshaugvegen 110, 5258 Blomsterdalen	Bergen 		31	429	4601	971278374	287					80% av KPI på leie - 100% av KPI på indre vedlikehold 	JA, må vasle utleier om forlengelse min 6 mnd før utløp		339000		01.01.2006	339000	520626	11480	17631		44000	40																	
4904 - Lier	Lier	2019/51834-2		01.01.2017	31.12.2026	Statsbygg	1		Aktiv	LIER	Lierstranda 82	04 - Sør	09 - Viken - Sørvest	Formålsbygg	1020	4	Akutt		Lierstranda 82, 3412 Lierstranda	Lier 		7	28	3049	971278374	1020					100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	10 plasser og 3 garasjeplasser	1281000		01.01.2017	1281000	1691238	20400	26933		335000	20																	
6108 - Lillaasgården Moss 	Lillaasgården Moss 	2020/52562-5		15.01.2018	14.01.2028	Lilleaasgården Moss AS	2		Aktiv	MOSS	Lilleaasgården	05 - Øst	11 - Oslo og Viken	Formålsbygg	608	3	BFS		Prins Chr August plass 3-5, 1530 Moss	Moss		1	2136	3103	921679092	608	600				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	inkl 5 faste p-plasser 	1300000		15.01.2018	1300000	1663435			105936																			
1121 - RK B bfs inntak FHT Bodø	RK, Bfs, Inntak Bodø, FHT Bodø	2008/17210 og 2013/66629	D	01.01.2016	31.12.2030	Bodø kommune	2		Aktiv	BODØ	Løvoldveien 1	01 - Nord	01 - Nordland	Kontor	2093				Kongensgt 60, 8006 Bodø	Bodø		138	deler av 1	1804	964982953	2093	1473				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	6 plasser i parkeringskjeller inkl leie, 1 uteplass 	3370603		13.06.2022	5031174	5675549			627900																			
1104 - Bodø ungdomssenter	Bodø ungdomssenter	2004/7962 og 2013/66629-37		01.06.2008	31.05.2028	Statsbygg	1		Aktiv	BODØ	Marmorvn 24	01 - Nord	01 - Nordland	Formålsbygg	642	4	Akutt adferd		Marmorveien 24, 8073 Bodø	Bodø		34	898	1804	971278374	642					80% av KPI på leie - 100% av KPI på indre vedlikehold 	JA, må vasle utleier om forlengelse min 6 mnd før utløp		1017000	økes med 595000,- fra 01.10.2016	01.01.2008 / 01.10.2016	1017000	2211475	32100	68911		71400	50																	
1104 - Bodø ungdomssenter	Bodø ungdomssenter - hybelhus	2004/7962 og 2013/66629-37		01.10.2016	30.09.2026	Statsbygg	1		Aktiv	BODØ	Marmorvn 24	01 - Nord	01 - Nordland	Formålsbygg	0	0			Marmorveien 24, 8073 Bodø	Bodø		34	898	1804	971278374	se hovedkontrakt 								se hovedkontrakt 		01.10.2016	se hovedkontrakt 	inkludert i hovedkontrakt 																								
1104 - Bodø ungdomssenter	Bodø ungdomssenter - hybelbygg 2	2022/68955		13.06.2022	12.06.2042	Statsbygg	1		Aktiv	BODØ	Marmorvn 24	01 - Nord	01 - Nordland	Formålsbygg	181	0			Marmorveien 24, 8073 Bodø	Bodø		34	898	1804	971278374	181					100% av KPI på leie	JA, må vasle utleier om forlengelse min 9 mnd før utløp		260000		13.06.2022	260000	293635	27150	30663		36000	150																	
1222 - Midnattsolveien 1451	Midnattsolveien 1451 (Vestre-Tana barne- og ungdomssenter)			01.01.2025	31.12.2034	Leietaker-bygg Tana AS	2		Aktiv	LUFTHAVN	Midnattsolveien 1451	01 - Nord	02 - Troms og Finnmark	Formålsbygg	491	3	Behandling høy		Midnattsolveien 1454, 9845 Tana	Tana 		17	24	5441	933481491	491					100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp	inkl p-plasser 	3970000		01.01.2025	3970000	3970000																						
3506 - KASA Mjølkeråen	F3 barn - Mjølkeråen 110	2005/7370-13		01.01.2006	31.12.2025	Statsbygg	1		Aktiv	MJØLKERÅEN	Mjølkeråen 110	03 - Vest	05 - Vestland	Formålsbygg	342	4	Omsorg		Mjølkeråen 110, 5101 Mjølkeråen	Bergen 		181	123	4601	971278374	342					80% av KPI på leie - 100% av KPI på indre vedlikehold 	JA, må vasle utleier om forlengelse min 6 mnd før utløp		339000		01.01.2006	339000	520626	13680	21010		35000	40																	
2334 - Familievern-kontoret i Namsos, utekontor	FVK Namsos, utekontor Vikna	2018/59800		01.01.2024	31.12.2028	Rørvik Gården AS	2		Aktiv	RØRVIK	Moloveien 1	02 - Midt-Norge	03 - Trøndelag	Familievernkontor	31				Molovegen 1, 7900 Rørvik	Nærøysund 		1	46	5052	993544124	31	29				100% av KPI på leie	JA, forlengelse skjer automatisk for 1 mnd av gangen dersom leieforholdet ikke oppsiges. 	inkl 2 p-plasser	37000		01.01.2024	37000	40882			3100																			
4813 - Myrmo	Myrmo	2024/50754-1		01.01.2004	31.12.2033	Statsbygg	1		Aktiv	TØNSBERG	Myrveien 1	04 - Sør	08 - Vestfold og Telemark	Formålsbygg	790	5	Behandling høy		Myrveien 1, 3113 Tønsberg	Tønsberg 		130	1107	3901	971278374	711				7017	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	inkl p-plasser 	892000		01.01.2024	892000	938743	113600	119553		105500	144																	
1218 - Målselv Ungdomssenter	Målselv Ungdomssenter	2007/16716		01.01.2007	31.12.2026	Statsbygg	1		Aktiv	ANDSELV	Målsnesvn 1122	01 - Nord	02 - Troms og Finnmark	Formålsbygg	1020	4	Behanding høy		Målsnesveien 1122, 9322 Målselv	Målselv		46	15	5418	971278374	1020					100% av KPI på leie	JA, må vasle utleier om forlengelse min 9 mnd før utløp		1611000		01.01.2020	1611000	2064955	81600	104618		65000	80																	
5919 - Nedre gate 16,0182 Oslo	Familievernkontoret Christiania	2023/80112		04.01.2022	31.03.2032	Trondheimsveien 2 AS	2		Aktiv	OSLO	Nedre gate 16	05 - Øst	11 - Oslo og Viken	Familievernkontor	1550				Nedre Gate 16, 0551 Oslo 	Oslo 		230	92 (snr 16 m.fl.)	301	921206684	1550	1240				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	inkl 5 faste p-plasser 	4176000		04.01.2022	4176000	4786419			542500						654930													
3507 - KASA Nedre Holtet	F3 barn - Nedre Holtet 15	2013/70410-1		01.01.2018	31.12.2027	Søsterhjemmet as	2		Aktiv	SØREIDGREND	Nedre Holtet 15	03 - Vest	05 - Vestland	Formålsbygg	1003	4	Omsorg		Nedre Holtet 15, 5251 Søreidgrend	Bergen		39	438	4601	984080549	1003					100% av KPI på leie	JA, må vasle utleier om forlengelse min 24 mnd før utløp	inkl asfaltert p-plass for 5-6 biler på eiendommen. 	793000		01.01.2018	793000	1014589																						
3537 - Nordhordland ungdomssenter	F4 ungdom - Nordre Kvernhusvegen 110	2023/72740-4		01.01.2024	31.12.2033	Statsbygg	1		Aktiv	ISDALSTØ	Nordre Kvernhusvegen 110	03 - Vest	05 - Vestland	Formålsbygg	1094	4	Behandling høy		Nordre Kvernhusvegen 110, 5914 Isdalstø	Alver 		301	36	4631	971278374	1094				5667	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		1249000		01.01.2024	1249000	1314436	87520	92105		246300	80																	
4806 - Olsrud	Olsrud	2024/50746-1		01.01.2004	31.12.2028	Statsbygg	1		Aktiv	MELSOMVIK	Olsrødgårdsveien 50	04 - Sør	08 - Vestfold og Telemark	Formålsbygg	923	6	Omsorg		Olsrødgårdsveien 50, 3159 Melsomvik	Sandefjord		421	34	3804	971278374	923					80% av KPI på leie - 100% av KPI på indre vedlikehold 	JA, må vasle utleier om forlengelse min 6 mnd før utløp		602000		01.01.2004	602000	923671	55380	95400		44400	60																	
4905 - Osmari	Osmari	2019/51834-31		01.01.2004	01.12.2024	Drammen kommune	2		Aktiv	DRAMMEN	Oswald Marthinsensvei 11	04 - Sør	09 - Viken - Sørvest	Formålsbygg	490	4	Akutt		Oswald Marthinsensvei 11, 3012 Drammen	Drammen		13	787	3005	964973300	0					100% av KPI på leie	ikke gitt 	ikke gitt 	242200		01.01.2004	242200	371617	Mangler kontrakt, Lt legger inn budsjett-tall.																						
5920 - Parkgata 35, 2317 Hamar	Familievernkontoret Innlandet Øst, avdeling Hamar	2023/80001		01.01.2017	31.12.2026	Parkgata 35 Eiendom AS	2		Aktiv	HAMAR	Parkgata 35	05 - Øst	10 - Innlandet	Familievernkontor	703				Parkgata 35, 2317 Hamar	Hamar 		3	34	3403	913727827	703	555				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	Fri parkering for ansatte på asfaltert gårdsplass 	934164		01.01.2017	934164	1256331			177252						42540													
4906 - Pauliveien	Pauliveien	2019/51834-3		01.01.2004	31.12.2025	Statsbygg	1		Aktiv	NØTTERØY	Pauliveien 35/37	04 - Sør	09 - Viken - Sørvest	Formålsbygg	1002	5	Akutt		Pauliveien 35/37, 3142 Vestskogen	Færder 		18	107 og 128	3811	971278374	1002					80% av KPI på leie - 100% av KPI på indre vedlikehold 	JA, må vasle utleier om forlengelse min 6 mnd før utløp		602000		01.01.2004	602000	923671	60120	103554		60120	60																	
1119 - Pilveien 2	Bfs, Inntak Bodø, FHT Bodø	2007/2800		14.01.2008	13.01.2028	M. Andersen Holding AS	2		Aktiv	BODØ	Pilveien 2	01 - Nord	01 - Nordland	Formålsbygg	469				Pilveien 2, 8012 Bodø	Bodø		33	873	1804	920194451	469	423				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	inkl p-plasser 	786600		14.01.2008	786600	1232845			73050																			
5113 - Postboks 459, 2309 Hamar	Hedmark ungdoms- og familiesenter - Enhet Toten	2023/80045		16.11.2016	31.12.2026	Innlandet fylkeskommune	2		Aktiv	HAUKA	Postboks 459	05 - Øst	10 - Innlandet	Formålsbygg	100	0			Prestevegen 25, 2816 Gjøvik 	Gjøvik 		15	315	3407	920717276	ikke oppgitt					100% av KPI på leie	JA, skjer automatisk for 5 nye år dersom den ikke oppsiges 9 mnd før utløp.		inkl i felleskostnader 		16.11.2016	inkl i felleskostnader 	inkludert i felleskostnader 																						
3510 - KASA Prestestien	F3 barn - Prestestien 85	2010/50901		01.01.2024	31.12.2033	Statsbygg	1		Aktiv	FLAKTVEIT	Prestestien 85	03 - Vest	05 - Vestland	Formålsbygg	714	4	Omsorg		Prestestien 85, 5136 Flaktveit	Bergen 		183	277	4601	971278374	714				5614	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		969000		01.01.2024	969000	1019777	57120	60113		88550	80																	
5904 - Prost Stabels vei 442, 2019 Skedsmokorset	Romerike ungdoms- og familiesenter, avdeling Frydenlund	2023/80033		31.03.2024	30.03.2034	Statsbygg	1		Aktiv	SKEDSMOKORSET	Prost Stabels vei 2	05 - Øst	11 - Oslo og Viken	Formålsbygg	1473	6	Behandling lav		Prost Stabels vei 442 og 444, 2019 Skedsmokorset	Lillestrøm		19	17 og 18	3205	971278374	1437				5616	80% av KPI på leie - 100% av KPI på indre vedlikehold 	JA, må vasle utleier om forlengelse min 6 mnd før utløp	Leieobjektet inkluderer p-plasser på egen tomt og mnd en p-kjeller. 	1217034		31.03.2024	1217034	1240401	84180	85795		143700	60																	
3508 - KASA Ravneberget	F3 barn - Ravneberget 110	2005/7370-13		01.01.2006	31.12.2025	Statsbygg	1		Aktiv	MJØLKERÅEN	Ravneberget 110	03 - Vest	05 - Vestland	Formålsbygg	342	4	Omsorg		Ravneberget 110, 5101 Mjølkeråen	Bergen 		181	373	4601	971278374	342					80% av KPI på leie - 100% av KPI på indre vedlikehold 	JA, må vasle utleier om forlengelse min 6 mnd før utløp		339000		01.01.2006	339000	520626	13680	21010		35000	40																	
1208 - RK, ESF, FHT Alta	RK, ESF, FHT, RK Alta	2004/7962-435		03.01.2010	28.02.2030	Løvoldveien 1 AS	2		Aktiv	ALTA	Richard Withs gate 1	01 - Nord	02 - Troms og Finnmark	Kontor	550				Richard Withs gate 1, 9510 Alta	Alta		31	1150	5403	931063162	550	482				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	inkl 5 faste p-plasser 	811900		03.01.2010	811900	1247657			151250																			
6124 - Bufdir Osloregionen	Bufdir Østensjøveien	2020/52306-12		04.01.2021	31.03.2031	Østenjøveien 32 AS	2		Aktiv	OSLO	Ridehusveien 32	06 - Bufdir	12 - Bufdir	Kontor	1975				Ridehusveien 32, 0667 Oslo	Oslo 		158	18	301	917307040	1975	1732				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		4509425		04.01.2021	4509425	5387431			716180						493750							* Estimert kantinekost på 3000,- per ansatt /per år						
3530 - Vestlundparken 15	Regionkontor region vest - Vestlundparken 15	2019/52319-3		11.01.2019	31.10.2034	Lasse Eiendom as	2		Aktiv	FYLLINGSDALEN	Ridehusveien 415	03 - Vest	05 - Vestland	Kontor	2034				Vestlundparken 15, 5144 Fyllingsdalen	Bergen 		21	342	4601	918732731	2034	1891				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	8 garasjeplasser	2170044		11.01.2019	2170044	2716947			508500																			
4805 - Riis	Riis	2024/50745-1		01.01.2004	31.12.2032	Statsbygg	1		Aktiv	GULLHAUG	Riissvingen 1	04 - Sør	08 - Vestfold og Telemark	Formålsbygg	1024	6	Behandling lav		Rissvingen 1, 3089 Holmestrand	Holmestrand		406	1	3802	971278374	1024				3750	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	Inkl p-plasser 	1082000		01.01.2024	1082000	1143241	104120	110008		145000	142																	
5928 - Rugdeveien 7, 2030 Nannestad	Nannestad barne- og familiesenter, avdeling Rugdestua	2023/80018		15.01.2019	14.01.2099	Ørud Eiendom AS	2		Aktiv	NANNESTAD	Rugdeveien 7	05 - Øst	11 - Oslo og Viken	Formålsbygg	183				Rugdeveien 7, 2030 Nannestad 	Nannestad 		12	4	3226	925000671	183	168				100% av KPI på leie	Leieforholdet løpet på ubestemt tid 		172800		15.01.2019	172800	216339																						
3509 - KASA Rundaberget	F3 barn - Rundaberget 15	2013/70410-1		01.01.2018	01.01.2028	Søsterhjemmet as	2		Aktiv	SØREIDGREND	Rundaberget 15	03 - Vest	05 - Vestland	Formålsbygg	1044	4	Omsorg		Rundaberget 15, 5251 Søreidgrend	Bergen		39	438	4601	984080549	1044					100% av KPI på leie	JA, må vasle utleier om forlengelse min 24 mnd før utløp	inkl asfaltert p-plass på eiendommen 	826000		01.01.2018	826000	1056715																						
4713 - Ryenveien	Ryenveien	2024/50753-1		01.01.2004	31.12.2025	Statsbygg	1		Aktiv	VINJE	Ryenvegen 1	04 - Sør	07 - Agder	Formålsbygg	287	3	Akutt		Ryenveien 1, 3890 Vinje	Vinje		33	27	4221	971278374	287					80% av KPI på leie - 100% av KPI på indre vedlikehold 	JA, må vasle utleier om forlengelse min 6 mnd før utløp	Inkl p-plasser 	280000		01.01.2004	280000	429712	11480	28495		25500	40											* kontrakt utgått? Eller forlenget uten å ligge i systemet? 						
3608 - Stavanger akutt Haugesund	F1 akutt - Salhusvegen 76	2023/72720-15		14.01.2024	31.12.2033	Statsbygg	1		Aktiv	HAUGESUND	Salhusveien 76	03 - Vest	06 - Rogaland	Formålsbygg	1691	5	Akutt		Salhusvegen 74 og 76, 5529 Haugesund	Haugesund		34	835	1106	971278374	1513				2200	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		1231000		14.01.2024	1231000	1295471	135280	142364		64300	80																	
5908 - Samuels Bergs vei 25, 1259 Oslo	Oslo barne- og familiesenter, avdeling Nordre Hauketo	2019/52306-38		01.01.2004	01.07.2026	Oslo kommune v/ Eiendoms- og byfornyelsesetaten	2		Aktiv	OSLO	Samuels Bergs vei 25	05 - Øst	11 - Oslo og Viken	Formålsbygg	608	4	Rus		Samuels Bergs vei 25, 1259 Oslo 	Oslo 		188	62	301	985399077	608	560					100% av KPI på leie 			348301		01.01.2004	348301	534522						LT innhenter budsjett-tall.																
3617 - RK, RK, FHT, MST mf Sandnes	RK, RK, FHK, MST mf. Sandnes	2016/51381		01.01.2017	31.12.2026	Sandsgård DA c/o Seabrokers Eiendom AS	2		Aktiv	SANDNES	Sandnesveien 1	03 - Vest	06 - Rogaland	Kontor	3114				Sandnesveien 1, 4319 Sandnes	Sandnes		39	183	1108	991583998	2831	2514				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	15 plasser a 3.000,- og 11 plasser a 6.000,- 	3650000		01.01.2017	3650000	4907152			347712																			
5122 - Skinnarberget 3, 2316 Hamar	Vien barnesenter - Skinnarberget	2019/52319-15		14.01.2019	13.01.2029	Næringsutvikling Oslo AS	2		Aktiv	HAMAR	Skinnarveien 2	05 - Øst	10 - Innlandet	Formålsbygg	350	4	Omsorg		Skinnarberget 3, 2316 Hamar	Hamar		4	283	3403	920875327	350	280				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	Parkeringsplassene er inkludert	396000		14.01.2019	396000	495790			54000																			
2321 - Skjelt-Ole-Bakken 7	Skjelt-Ole-Bakken 7	19/52319-38		14.01.2019	13.01.2029	Skjelt-Ole AS	2		Aktiv	TRONDHEIM	Skjelt Ole Bakken 7	02 - Midt-Norge	03 - Trøndelag	Formålsbygg	496	4	Omsorg		Skjelt-Ole-Bakken 7, 7072 Heimdal	Trondheim		201	20	5001	981504828	496	423				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	3 faste plasser for personbil m/strøm. 	564000		14.01.2019	564000	705753			48600																			
4812 - Skoleveien	Skoleveien	2024/50743-1		01.01.2004	31.12.2033	Statsbygg	1		Aktiv	HOLMESTRAND	Skoleveien 41	04 - Sør	08 - Vestfold og Telemark	Formålsbygg	1024	6	Behanding høy		Skoleveien 41, 3080 Holmestrand	Holmestrand		71	1	3802	971278374	1024				1083	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	Inkl p-plasser 	1082000		01.01.2024	1082000	1143241	104120	110008		145000	142																	
3522 - Skjoldvegen Søfteland - Skjoldvegen	F3 barn - Skjoldvegen 110	2005/2144-41		01.01.2004	31.12.2030	Statsbygg	1		Aktiv	SØFTELAND	Skjoldvegen 110	03 - Vest	05 - Vestland	Formålsbygg	1273	5	Behandling høy		Skjoldvegen 110, 5212 Syfteland	Bjørnafjorden		8	491	4624	971278374	1273				5655	80% av KPI på leie - 100% av KPI på indre vedlikehold 	JA, må vasle utleier om forlengelse min 6 mnd før utløp		1011000		01.01.2024	1011000	1065448	75120	79204		118000	60																	
3503 - KASA Skranehaugen	F3 barn - Skranehaugen 110	2005/7370-13		01.01.2006	31.12.2025	Statsbygg	1		Aktiv	BLOMSTERDALEN	Skranehaugen 110	03 - Vest	05 - Vestland	Formålsbygg	333	4	Omsorg		Skranehaugen 110, 5258 Blomsterdalen	Bergen 		31	435	4601	971278374	333					80% av KPI på leie - 100% av KPI på indre vedlikehold 	JA, må vasle utleier om forlengelse min 6 mnd før utløp		339000		01.01.2006	339000	520626	13320	20458		35000	40																	
4907 - Solbakken	Solbakken	2019/51834-4		14.01.2024	31.12.2033	Statsbygg	1		Aktiv	HØNEFOSS	Solbakken 1	04 - Sør	09 - Viken - Sørvest	Formålsbygg	608	3	Akutt		Solbakken 1, 3514 Hønefoss	Ringerike		92	49	3305	971278374	608				2228	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	inkl p-plasser 	611000		14.01.2024	611000	643444	48640	51221		48000	80																	
4714 - Solglimt	Solglimt	2024/50755-1		01.01.2004	31.12.2033	Statsbygg	1		Aktiv	VOSS	Solglimt 1	04 - Sør	07 - Agder	Formålsbygg	1020	5	Behandling høy		Solglimt 1, 5700 Voss	Voss		33	814	4621	971278374	1437				3414	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		2282000		01.01.2024	2282000	2403175	114960	121064		121000	80																	
4704 - Sørlandet skuv	Sørlandet skuv - Solholmsveien	2024/50750-1		01.01.2004	31.12.2033	Statsbygg	1		Aktiv	KRISTIANSAND S	Solholmsveien 415	04 - Sør	07 - Agder	Formålsbygg	1020	4	Behandling høy		Solholmsveien 110, 4613 Kristiansand S	Kristiansand		20	113	4204	971278374	1020				2152	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		1111000		01.01.2024	1111000	1170314	81600	85933		654100	80																	
5929 - Sperrebotn 110, 2011 Sperrebotn	Nannestad barne- og familiesenter, avdeling Sperrebotn	2023/80017		15.01.2019	14.01.2099	Ørud Eiendom AS	2		Aktiv	SPERREBOTN	Sperrebotn 1	05 - Øst	11 - Oslo og Viken	Formålsbygg	163				Sperrebotn 110, 2021 Sperrebotn	Våler 		12	4	3101	925000671	163	148				100% av KPI på leie	Leieforholdet løpet på ubestemt tid 		154800		15.01.2019	154800	193809																						
4705 - Spiregården	Spiregården	2024/50751-1		01.01.2004	31.12.2033	Statsbygg	1		Aktiv	MANDAL	Spireaveien 2	04 - Sør	07 - Agder	Formålsbygg	608	6	Omsorg		Spireaveien 1, 4514 Mandal	Lindesnes		160	835	4205	971278374	608				2313	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		611000		01.01.2024	611000	643444	48640	51223		48000	80																	
2333 - Familievern-kontoret i Stjørdal	Bufetet v/ Region nord	2017/56614-2		01.03.2018	28.02.2028	Svein-Otto og Ranka Kvarving	2		Aktiv	STJØRDAL	Stasjonssenteret	02 - Midt-Norge	03 - Trøndelag	Familievernkontor	356				Stasjonssenteret 2.etg, 7500 Stjørdal	Stjørdal		107	64	5035	998634512	356	282				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	ikke oppgitt	502500		01.03.2018	502500	641323			70560																			
3524 - Jettegryta akutt - Steinsland	F1 akutt - Steinsland 110	2013/70411-1		01.01.2024	31.12.2033	Statsbygg	1		Aktiv	STEINSBØ	Steinsland 110	03 - Vest	05 - Vestland	Formålsbygg	552	4	Akutt		Steinsland 110, 5379 Steinsland	Øygarden		75	1	4626	971278374	552				2131	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		642000		01.01.2024	642000	676231	44160	46513		56300	80																	
5930 - Stensrudveien 110, 2020 Skedsmokorset	Romerike ungdoms- og familiesenter, avdeling Stensrud	2023/80016		01.01.2019	31.12.2099	Hansen, Kai Roar	2		Aktiv	SKEDSMOKORSET	Stensrudveien 1	05 - Øst	11 - Oslo og Viken	Formålsbygg	350				Stensrudveien 110, 2020 Skedsmokorset 	Lillestrøm		19	2	3205	privat 	ikke oppgitt					100% av KPI på leie	Leieforholdet løpet på ubestemt tid 	Parkeringsplass inkl (antall ikke oppgitt)	331200		01.01.2019	331200	414545																						
2336 - Familievern-kontoret i Steinkjer	Familievern-kontoret i Steinkjer	2013/75567		11.01.2013	31.10.2028	Bomveien 3 ANS	2		Aktiv	STEINKJER	Strandvegen 2 A	02 - Midt-Norge	03 - Trøndelag	Familievernkontor	427				Bomvegen 3, 7725 Steinkjer	Steinkjer		197	12676	5006	994241451	427	333				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	Leieobjektet inkluderer parkeringsplasser i tilknytning til og rundt eiendommen.	530000		11.01.2013	530000	766795			151608																			
6011 - Furene 8	Sunnmørsheimen avd Svemye			01.01.2018	31.12.2027	Svemyre Eiendom	2		Aktiv	SVOLVÆR	Svemyre	02 - Midt-Norge	04 - Møre og Romsdal	Formålsbygg	336	3	EMA		se kontraktsdeler 	Ålesund		52	8 og 32	1508	997296591	336					100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		450960		01.01.2018	450960	575971			25000																			
4815 - Svinevoll	Svinevoll	2024/50739-1		01.01.2004	31.12.2033	Statsbygg	1		Aktiv	VÅLE	Svinevollveien 370	04 - Sør	08 - Vestfold og Telemark	Formålsbygg	1021	6	Omsorg		Svinevollveien 370, 3178 Våle	Tønsberg 		121	17	3901	971278374	1021				2107	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	Ikke aktuelt	851000		01.01.2024	851000	895583	81680	85959		105000	80																	
5921 - Sykehusveien 110, 2340 Løten	Familievernkontoret Innlandet Øst, avdeling Hamar	2023/80113		01.01.2019	31.12.2033	Statsbygg	1		Aktiv	LØTEN	Sykehusveien 1	05 - Øst	10 - Innlandet	Formålsbygg	330	0	Inntak fosterhjem		Sykehusveien 110, 2340 Løten	Løten		143	1	3426	971278374	330				360	80% av KPI på leie - 100% av KPI på indre vedlikehold 	JA, må vasle utleier om forlengelse min 6 mnd før utløp		281000		01.01.2024	281000	281000	18000	18000		52000	55																	
1103 - Bodø omsorgssenter	Søndre gate 3 (Bodø omsorgssenter)	2023/84042		15.01.2024	15.01.2034	Søndre gate 3-5 AS	2		Aktiv	BODØ	Søndre gate 3	01 - Nord	01 - Nordland	Formålsbygg	790	10	EMA		Søndre gate 3, 8003 Bodø	Bodø		39	17 og 18	1804	926526170	790	750				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		1580000		15.01.2024	1580000	1640277			256750																			
5114 - Sørumsgata 110, 2000 Lillestrøm	Regionkontoret region øst - Sørumsgata 	2023/80002		01.01.2021	31.03.2031	Sørumsgata 110 AS	2		Aktiv	LILLESTRØM	Sørumsgata 1	05 - Øst	11 - Oslo og Viken	Kontor	1154				Sørumsgata 110, 2000 Lillestrøm	Lillestrøm		19	2	3205	917471355	1154	1001				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	inkl 5 faste p-plasser. Ytteligere p-plasser 950,- per mnd per plass. 	2580540		01.01.2021	2580540	3083626			432750						356262													
5123 - Tangerudbakken 2, 0982 Oslo	Tangerudbakken 2 - ehet Tangerud	2022/60455		01.01.2023	31.12.2032	Obos-gården AS	2		Aktiv	OSLO	Tangerudbakken 2	05 - Øst	11 - Oslo og Viken	Formålsbygg	611	4	Omsorg		Tangerudbakken 2, 0982 Oslo 	Oslo 		101	1	301	958744040	611	580				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	6 faste p-plasser (overtakelse 01.09.2023)	630000		01.01.2023	630000	694589			135000																			
